Tactics,Sentence
Defense Evasion,LightNeuron has been used by Turla to target diplomatic and foreign affairs-related organizations.
Command and Control,LightNeuron has been used by Turla to target diplomatic and foreign affairs-related organizations.
Exfiltration,LightNeuron has been used by Turla to target diplomatic and foreign affairs-related organizations.
Collection,LightNeuron has been used by Turla to target diplomatic and foreign affairs-related organizations.
Discovery,LightNeuron has been used by Turla to target diplomatic and foreign affairs-related organizations.
Execution,LightNeuron has been used by Turla to target diplomatic and foreign affairs-related organizations.
Impact,LightNeuron has been used by Turla to target diplomatic and foreign affairs-related organizations.
Persistence,LightNeuron has been used by Turla to target diplomatic and foreign affairs-related organizations.
Defense Evasion,The presence of certain strings in the malware suggests a Linux variant of LightNeuron exists.
Command and Control,The presence of certain strings in the malware suggests a Linux variant of LightNeuron exists.
Exfiltration,The presence of certain strings in the malware suggests a Linux variant of LightNeuron exists.
Collection,The presence of certain strings in the malware suggests a Linux variant of LightNeuron exists.
Discovery,The presence of certain strings in the malware suggests a Linux variant of LightNeuron exists.
Execution,The presence of certain strings in the malware suggests a Linux variant of LightNeuron exists.
Impact,The presence of certain strings in the malware suggests a Linux variant of LightNeuron exists.
Persistence,The presence of certain strings in the malware suggests a Linux variant of LightNeuron exists.
Discovery,MoleNet is a downloader tool with backdoor capabilities that has been observed in use since at least 2019.
Execution,MoleNet is a downloader tool with backdoor capabilities that has been observed in use since at least 2019.
Persistence,MoleNet is a downloader tool with backdoor capabilities that has been observed in use since at least 2019.
Privilege Escalation,MoleNet is a downloader tool with backdoor capabilities that has been observed in use since at least 2019.
Command and Control,MoleNet is a downloader tool with backdoor capabilities that has been observed in use since at least 2019.
Resource Development,Turla is a cyber espionage threat group that has been attributed to Russia's Federal Security Service FSB.
Defense Evasion,Turla is a cyber espionage threat group that has been attributed to Russia's Federal Security Service FSB.
Discovery,Turla is a cyber espionage threat group that has been attributed to Russia's Federal Security Service FSB.
Execution,Turla is a cyber espionage threat group that has been attributed to Russia's Federal Security Service FSB.
Privilege Escalation,Turla is a cyber espionage threat group that has been attributed to Russia's Federal Security Service FSB.
Persistence,Turla is a cyber espionage threat group that has been attributed to Russia's Federal Security Service FSB.
Command and Control,Turla is a cyber espionage threat group that has been attributed to Russia's Federal Security Service FSB.
Credential Access,Turla is a cyber espionage threat group that has been attributed to Russia's Federal Security Service FSB.
Lateral Movement,Turla is a cyber espionage threat group that has been attributed to Russia's Federal Security Service FSB.
Collection,Turla is a cyber espionage threat group that has been attributed to Russia's Federal Security Service FSB.
Initial Access,Turla is a cyber espionage threat group that has been attributed to Russia's Federal Security Service FSB.
Exfiltration,Turla is a cyber espionage threat group that has been attributed to Russia's Federal Security Service FSB.
Resource Development,"They have compromised victims in over 50 countries since at least 2004, spanning a range of industries including government, embassies, military, education, research and pharmaceutical companies."
Defense Evasion,"They have compromised victims in over 50 countries since at least 2004, spanning a range of industries including government, embassies, military, education, research and pharmaceutical companies."
Discovery,"They have compromised victims in over 50 countries since at least 2004, spanning a range of industries including government, embassies, military, education, research and pharmaceutical companies."
Execution,"They have compromised victims in over 50 countries since at least 2004, spanning a range of industries including government, embassies, military, education, research and pharmaceutical companies."
